user_id,age,gender
1,64,1
2,21,1
3,30,0
4,35,1
5,39,0
6,68,1
7,50,1
8,23,1
9,34,1
10,36,0
11,39,1
12,25,1
13,33,0
14,58,1
15,54,0
16,68,1
17,44,0
18,54,0
19,56,1
20,60,1
21,49,0
22,21,0
23,63,1
24,21,0
25,65,0
26,59,1
27,63,0
28,25,1
29,33,0
30,40,1
31,30,0
32,41,0
33,46,1
34,47,0
35,25,1
36,67,0
37,22,1
38,41,1
39,48,1
40,21,0
41,56,0
42,23,0
43,63,0
44,52,0
45,21,1
46,43,1
47,63,0
48,62,1
49,30,0
50,32,1
51,25,0
52,59,0
53,64,0
54,25,0
55,20,0
56,55,1
57,25,0
58,69,1
59,48,1
60,42,1
61,59,0
62,54,0
63,35,0
64,32,0
65,69,1
66,60,0
67,41,1
68,23,1
69,52,0
70,62,1
71,52,0
72,66,0
73,57,0
74,48,1
75,24,0
76,68,1
77,34,1
78,49,1
79,46,0
80,54,0
81,60,0
82,22,0
83,41,1
84,44,0
85,34,1
86,35,1
87,60,1
88,47,0
89,27,1
90,21,1
91,37,0
92,37,1
93,40,0
94,60,0
95,48,0
96,25,1
97,57,0
98,68,1
99,58,1
100,50,1
101,31,1
102,39,0
103,42,0
104,22,0
105,33,0
106,29,1
107,43,0
108,44,0
109,51,1
110,47,1
111,58,1
112,45,0
113,22,0
114,36,1
115,58,1
116,35,1
117,20,0
118,29,1
119,31,1
120,51,1
121,55,1
122,64,0
123,24,0
124,66,1
125,51,1
126,25,0
127,30,1
128,43,0
129,23,0
130,43,0
131,34,0
132,68,1
133,68,1
134,57,0
135,44,0
136,37,0
137,55,0
138,46,1
139,39,1
140,39,0
141,51,0
142,46,0
143,31,1
144,55,0
145,67,1
146,24,0
147,31,0
148,63,0
149,54,1
150,55,1
151,30,1
152,39,0
153,56,1
154,50,1
155,67,1
156,35,0
157,45,0
158,28,1
159,23,0
160,53,0
161,48,0
162,20,0
163,68,0
164,24,1
165,23,0
166,63,1
167,43,0
168,50,0
169,58,1
170,20,0
171,63,0
172,56,0
173,52,1
174,22,0
175,55,0
176,23,0
177,46,1
178,24,1
179,59,0
180,31,0
181,24,1
182,30,1
183,65,0
184,36,1
185,26,0
186,50,1
187,42,0
188,55,1
189,31,0
190,46,0
191,64,1
192,39,1
193,44,0
194,56,0
195,44,0
196,31,0
197,20,1
198,22,1
199,64,1
200,69,0
201,31,1
202,21,0
203,57,0
204,43,1
205,25,0
206,62,0
207,44,0
208,58,1
209,55,0
210,48,1
211,56,1
212,36,1
213,58,1
214,46,1
215,30,1
216,22,0
217,28,0
218,43,0
219,48,0
220,48,0
221,60,1
222,37,1
223,48,0
224,27,1
225,62,0
226,38,1
227,47,1
228,45,0
229,54,0
230,27,1
231,29,0
232,29,0
233,48,0
234,21,1
235,48,0
236,44,1
237,31,0
238,27,0
239,62,0
240,48,0
241,23,1
242,57,0
243,55,0
244,23,0
245,62,0
246,27,0
247,30,0
248,47,0
249,28,0
250,52,0
251,60,1
252,20,0
253,38,1
254,55,0
255,49,1
256,69,0
257,51,1
258,60,0
259,36,1
260,50,1
261,37,1
262,62,1
263,41,0
264,54,1
265,32,0
266,27,1
267,34,1
268,34,1
269,39,0
270,35,1
271,66,1
272,29,0
273,59,0
274,36,1
275,65,0
276,50,1
277,41,1
278,22,1
279,44,1
280,38,1
281,38,0
282,69,0
283,52,1
284,61,1
285,64,1
286,44,0
287,27,0
288,23,1
289,41,0
290,31,0
291,33,1
292,51,0
293,66,1
294,25,1
295,65,1
296,53,0
297,50,1
298,48,0
299,50,0
300,67,0
301,57,1
302,54,1
303,63,0
304,25,1
305,38,1
306,55,0
307,47,0
308,27,1
309,66,1
310,41,0
311,65,1
312,39,0
313,54,1
314,49,0
315,27,1
316,21,0
317,47,1
318,42,1
319,63,1
320,57,0
321,42,0
322,37,1
323,49,1
324,58,0
325,56,0
326,30,1
327,47,1
328,40,0
329,38,0
330,36,0
331,45,1
332,61,1
333,56,1
334,40,1
335,28,1
336,32,0
337,20,0
338,63,0
339,44,1
340,29,0
341,64,0
342,62,0
343,32,0
344,60,1
345,44,0
346,53,0
347,41,1
348,27,1
349,38,0
350,31,1
351,57,0
352,59,0
353,55,1
354,48,1
355,62,1
356,57,1
357,34,0
358,26,1
359,45,1
360,69,0
361,46,1
362,67,1
363,61,1
364,57,0
365,67,0
366,22,0
367,35,0
368,33,1
369,29,0
370,37,1
371,61,0
372,68,0
373,30,0
374,28,0
375,39,1
376,43,1
377,46,1
378,22,1
379,30,0
380,51,1
381,49,1
382,65,1
383,27,0
384,40,0
385,65,1
386,38,1
387,61,0
388,39,1
389,60,0
390,21,1
391,26,0
392,55,1
393,68,1
394,24,0
395,28,0
396,66,0
397,46,1
398,59,0
399,46,1
400,26,0
401,58,0
402,32,0
403,43,1
404,60,0
405,64,1
406,35,0
407,55,0
408,32,1
409,20,0
410,36,1
411,48,0
412,37,0
413,47,0
414,31,1
415,55,1
416,31,1
417,65,0
418,35,0
419,27,0
420,63,0
421,59,1
422,46,1
423,28,1
424,58,0
425,41,1
426,68,1
427,26,1
428,62,1
429,28,0
430,63,0
431,58,0
432,22,1
433,60,1
434,44,0
435,68,1
436,22,0
437,42,1
438,20,1
439,24,1
440,61,0
441,22,0
442,58,0
443,66,1
444,59,0
445,21,1
446,67,1
447,32,1
448,63,0
449,44,1
450,66,0
451,26,1
452,54,1
453,55,0
454,29,1
455,43,1
456,48,0
457,48,1
458,24,1
459,61,1
460,39,0
461,35,1
462,34,0
463,66,0
464,44,0
465,21,0
466,24,0
467,53,1
468,65,0
469,41,1
470,38,0
471,54,1
472,54,0
473,51,0
474,60,1
475,58,1
476,22,0
477,31,1
478,38,1
479,38,1
480,32,1
481,42,1
482,34,1
483,48,1
484,46,1
485,31,0
486,21,0
487,54,0
488,33,1
489,35,1
490,41,0
491,31,1
492,61,0
493,68,1
494,63,1
495,53,1
496,60,0
497,65,0
498,24,1
499,37,0
500,48,0
